id,gender,demographics,low_income,school_year,grade,school,teacher,teacher_id,subject,math_ability,english_ability,boy,moy,eoy,state_exam,state_exam_score
1,male,3,0,2000,0,School C,Teacher 3,39,math,62,76,144,155,163,Pass,64
1,male,3,0,2000,0,School C,Teacher 3,39,english,62,76,150,160,167,Pass Plus,89
1,male,3,0,2001,1,School C,Teacher 2,41,math,62,76,166,177,185,Pass,79
1,male,3,0,2001,1,School C,Teacher 2,41,english,62,76,169,185,192,Pass Plus,89
1,male,3,0,2002,2,School C,Teacher 3,45,math,62,84,181,188,194,Pass,48
1,male,3,0,2002,2,School C,Teacher 3,45,english,62,84,189,196,201,Pass Plus,89
1,male,3,0,2003,3,School C,Teacher 2,47,math,57,79,194,202,207,Pass,70
1,male,3,0,2003,3,School C,Teacher 2,47,english,57,79,201,212,215,Pass Plus,94
1,male,3,0,2004,4,School C,Teacher 2,50,math,62,87,204,209,214,Pass,46
1,male,3,0,2004,4,School C,Teacher 2,50,english,62,87,215,217,219,Pass Plus,94
1,male,3,0,2005,5,School C,Teacher 2,53,math,52,82,215,225,230,Pass,84
1,male,3,0,2005,5,School C,Teacher 2,53,english,52,82,219,228,230,Pass Plus,94
2,female,3,0,2000,0,School C,Teacher 2,38,math,55,58,142,155,162,Pass,58
2,female,3,0,2000,0,School C,Teacher 2,38,english,55,58,143,156,163,Pass,68
2,female,3,0,2001,1,School C,Teacher 1,40,math,60,66,163,173,180,Pass,47
2,female,3,0,2001,1,School C,Teacher 1,40,english,60,66,166,175,181,Pass,56
2,female,3,0,2002,2,School C,Teacher 2,44,math,50,61,180,187,193,Pass,47
2,female,3,0,2002,2,School C,Teacher 2,44,english,50,61,179,188,193,Pass,61
2,female,3,0,2003,3,School C,Teacher 1,46,math,55,61,190,201,205,Pass,53
2,female,3,0,2003,3,School C,Teacher 1,46,english,55,61,192,202,205,Pass,64
2,female,3,0,2004,4,School C,Teacher 3,51,math,58,69,203,211,217,Pass,53
2,female,3,0,2004,4,School C,Teacher 3,51,english,58,69,206,210,213,Pass,77
2,female,3,0,2005,5,School C,Teacher 1,52,math,60,69,214,222,226,Pass,77
2,female,3,0,2005,5,School C,Teacher 1,52,english,60,69,213,216,219,Pass,68
3,female,2,0,2000,0,School B,Teacher 1,19,math,53,51,141,155,162,Pass,67
3,female,2,0,2000,0,School B,Teacher 1,19,english,53,51,141,154,160,Pass,59
3,female,2,0,2001,1,School B,Teacher 2,23,math,61,59,163,176,183,Pass,57
3,female,2,0,2001,1,School B,Teacher 2,23,english,61,59,163,176,182,Pass,63
3,female,2,0,2002,2,School B,Teacher 3,27,math,58,64,180,188,194,Pass,46
3,female,2,0,2002,2,School B,Teacher 3,27,english,58,64,180,189,194,Pass,65
3,female,2,0,2003,3,School B,Teacher 1,28,math,56,64,193,203,209,Pass,79
3,female,2,0,2003,3,School B,Teacher 1,28,english,56,64,194,201,204,Pass,66
3,female,2,0,2004,4,School B,Teacher 1,31,math,66,64,203,212,217,Pass,52
3,female,2,0,2004,4,School B,Teacher 1,31,english,66,64,203,208,210,Pass,66
3,female,2,0,2005,5,School B,Teacher 1,34,math,61,64,217,221,225,Pass,72
3,female,2,0,2005,5,School B,Teacher 1,34,english,61,64,211,215,217,Pass,69
4,male,3,0,2000,0,School C,Teacher 1,37,math,61,57,144,155,163,Pass,61
4,male,3,0,2000,0,School C,Teacher 1,37,english,61,57,143,151,158,Pass,48
4,male,3,0,2001,1,School C,Teacher 1,40,math,61,52,166,175,182,Pass,62
4,male,3,0,2001,1,School C,Teacher 1,40,english,61,52,161,170,176,Fail,29
4,male,3,0,2002,2,School C,Teacher 3,45,math,56,47,180,188,194,Pass,49
4,male,3,0,2002,2,School C,Teacher 3,45,english,56,47,173,181,185,Fail,26
4,male,3,0,2003,3,School C,Teacher 1,46,math,56,42,192,202,208,Pass,79
4,male,3,0,2003,3,School C,Teacher 1,46,english,56,42,185,195,199,Fail,27
4,male,3,0,2004,4,School C,Teacher 3,51,math,64,50,203,212,217,Pass,51
4,male,3,0,2004,4,School C,Teacher 3,51,english,64,50,198,205,207,Fail,38
4,male,3,0,2005,5,School C,Teacher 2,53,math,61,55,216,227,231,Pass,83
4,male,3,0,2005,5,School C,Teacher 2,53,english,61,55,207,214,216,Pass,65
